iter	Logloss
166	0.4119372351
167	0.4118605703
168	0.4117801371
169	0.4116545347
170	0.4114926741
171	0.4114074027
172	0.4113865623
173	0.4113000142
174	0.4112019474
175	0.4111419424
176	0.4110510367
177	0.410946852
178	0.4109051841
179	0.4108208799
180	0.4107152746
181	0.4105968611
182	0.4105022108
183	0.4104231457
184	0.4103434109
185	0.4102327332
186	0.4101203636
187	0.4100264689
188	0.4099501969
189	0.4098446073
190	0.4097196089
191	0.4096093002
192	0.4095230594
193	0.4093805941
194	0.409290378
195	0.4092677676
196	0.4092254391
197	0.4091554287
198	0.4091029263
199	0.4090650152
200	0.4089730309
201	0.408933361
202	0.4088797273
203	0.4088101349
204	0.4087588688
205	0.4087159747
206	0.4085981576
207	0.4085459419
208	0.4085369571
209	0.4085322958
210	0.4083930081
211	0.40835539
212	0.4083430382
213	0.4082578698
214	0.4081765982
215	0.4080916159
216	0.4079780147
217	0.4079031385
218	0.4078022823
219	0.4077105324
220	0.4076302066
221	0.4075563264
222	0.4075013362
223	0.4074727079
224	0.4073731069
225	0.4072717456
226	0.4071372469
227	0.4070711206
228	0.4069848731
229	0.4069016695
230	0.4068221523
231	0.4067191678
232	0.4067020943
233	0.406617503
234	0.4065463817
235	0.4064827856
236	0.40644892
237	0.4063336095
238	0.4062837539
239	0.406221578
240	0.4061430183
241	0.4060604559
242	0.4060063701
243	0.4059190555
244	0.4058478994
245	0.4057162886
246	0.4056279337
247	0.4055878779
248	0.4055878662
249	0.4055300191
250	0.4054842808
251	0.4053881507
252	0.4053415208
253	0.4052298208
254	0.4051859637
255	0.4051217468
256	0.4050437887
257	0.4049301526
258	0.4048561259
259	0.4048078092
260	0.4046571036
261	0.4045655413
262	0.4044918624
263	0.4043806827
264	0.4042756011
265	0.4042336136
266	0.4041983624
267	0.4041300253
268	0.40404105
269	0.4039497359
270	0.4038480404
271	0.4037099109
272	0.4035989876
273	0.4035734593
274	0.4035315193
275	0.4034590869
276	0.4033825122
277	0.4032967539
278	0.4032607731
279	0.4031797538
280	0.4030840257
281	0.4029508296
282	0.4028851118
283	0.4027826089
284	0.4027008577
285	0.4026268537
286	0.4025214665
287	0.4024561055
288	0.4023669209
289	0.4022850763
290	0.4022231507
291	0.4021284792
292	0.4020755845
293	0.4019994845
294	0.4019044927
295	0.4018289272
296	0.4017622404
297	0.401665664
298	0.4015478153
299	0.4014089008
300	0.401392805
301	0.4013438616
302	0.4012613881
303	0.4011905707
304	0.4010934256
305	0.4010094557
306	0.4009664051
307	0.4008924387
308	0.4007993412
309	0.4007045948
310	0.400597231
311	0.4005681177
312	0.4005235531
313	0.4004521314
314	0.4003576406
315	0.4003256568
316	0.4002486096
317	0.4002064272
318	0.4001555813
319	0.4000443561
320	0.3999643692
321	0.3999120269
322	0.39983431
323	0.3996909354
324	0.3995500584
325	0.3994762999
326	0.3994515621
327	0.3993976823
328	0.3992903646
329	0.3991998709
330	0.3991574555
331	0.3990885676
332	0.3989823648
333	0.3988876695
334	0.3987709455
335	0.3986677503
336	0.3986080313
337	0.3985919901
338	0.3985194788
339	0.3984584876
340	0.398335852
341	0.3982810783
342	0.3982060677
343	0.3980717534
344	0.3979602498
345	0.3979167846
346	0.3978388834
347	0.3977864044
348	0.3977802172
349	0.3977009355
350	0.3975837804
351	0.3974929
352	0.3973786985
353	0.3973288742
354	0.3972213998
355	0.3971257539
356	0.3970296765
357	0.3969605156
358	0.3968929174
359	0.3968085836
360	0.3967684348
361	0.3967240018
362	0.3966132346
363	0.3965398944
364	0.3964677076
365	0.3963659136
366	0.3962965147
367	0.3961694858
368	0.3960900971
369	0.3960313775
370	0.3960110049
371	0.3959450645
372	0.3958627202
373	0.3957289841
374	0.3956356954
375	0.3955978668
376	0.3954997746
377	0.3954165167
378	0.3952853405
379	0.395254495
380	0.3951793106
381	0.3950668417
382	0.3950120366
383	0.3949863239
384	0.3949435769
385	0.3949320816
386	0.3948317061
387	0.3947125838
388	0.3945971876
389	0.3944778878
390	0.3943672683
391	0.394347453
392	0.3942143164
393	0.3941335733
394	0.3940335024
395	0.3939897071
396	0.3939256875
397	0.39381304
398	0.3937646986
399	0.3936709628
400	0.3935839583
401	0.3934451072
402	0.3933912121
403	0.393255525
404	0.3931348838
405	0.3930898935
406	0.3929907216
407	0.3928919915
408	0.3927581381
409	0.39265957
410	0.3926499836
411	0.392537183
412	0.392421146
413	0.3923489649
414	0.3922970038
415	0.3921744802
416	0.3920787381
417	0.3920048521
418	0.3919290961
419	0.3918750843
420	0.3917350002
421	0.3916222215
422	0.3916190571
423	0.3915414622
424	0.391384203
425	0.3913036288
426	0.3912063594
427	0.391065123
428	0.3910237116
429	0.3909254678
430	0.390867608
431	0.390811125
432	0.3907209298
433	0.3906740894
434	0.3905914918
435	0.3905458866
436	0.3904557458
437	0.3903819244
438	0.3902813545
439	0.3902340647
440	0.3901974453
441	0.3900489149
442	0.3899780839
443	0.3899291465
444	0.3897764912
445	0.3896735907
446	0.3895978013
447	0.3894871097
448	0.3893627656
449	0.389232993
450	0.3891820359
451	0.3890926794
452	0.3890285395
453	0.3889359525
454	0.3888953203
455	0.3888126286
456	0.3888049461
457	0.3887351588
458	0.3886814779
459	0.3886294355
460	0.3885774551
461	0.3885322063
462	0.3884340516
463	0.3883205858
464	0.3882056814
465	0.3881277218
466	0.3880074167
467	0.3879337979
468	0.3878831194
469	0.3877999694
470	0.3876704125
471	0.3875841209
472	0.387501528
