iter	Logloss
0	0.67575266
1	0.6598992962
2	0.6445721222
3	0.6303637111
4	0.6170894479
5	0.6050464057
6	0.5941972281
7	0.5831842828
8	0.5731509345
9	0.5638586013
10	0.5550562873
11	0.5468905163
12	0.5390113705
13	0.5321993273
14	0.5258045869
15	0.5197227653
16	0.5138409164
17	0.5086252609
18	0.503508849
19	0.4990577567
20	0.494785129
21	0.4909386875
22	0.4869480135
23	0.4832100815
24	0.4798767113
25	0.4767653567
26	0.4738445551
27	0.4710314602
28	0.4683620498
29	0.4658034993
30	0.4634950124
31	0.4611957397
32	0.4592606087
33	0.4573124722
34	0.4556251404
35	0.4540897454
36	0.4523341182
37	0.4507300171
38	0.4491983019
39	0.4478419949
40	0.4465615015
41	0.4452646743
42	0.4443051296
43	0.443236091
44	0.4422898498
45	0.441109387
46	0.4400934383
47	0.4392150635
48	0.438315591
49	0.4375645949
50	0.4367849071
51	0.4360848802
52	0.4353709625
53	0.4347366218
54	0.4342319773
55	0.4335157956
56	0.4329769458
57	0.4323604219
58	0.4318363754
59	0.431231144
60	0.4308115376
61	0.4303512632
62	0.4298889956
63	0.429498832
64	0.4291377316
65	0.4287375303
66	0.4283031848
67	0.4279324847
68	0.4276059818
69	0.4273482831
70	0.4270138721
71	0.4267571442
72	0.4264525166
73	0.4261642561
74	0.4258704607
75	0.4255008075
76	0.4251876074
77	0.4249805418
78	0.424731789
79	0.4246353931
80	0.4243740154
81	0.4242769381
82	0.4240475746
83	0.4238114606
84	0.4235666816
85	0.4233397828
86	0.423097845
87	0.4229071232
88	0.4227166705
89	0.4225242581
90	0.4223293671
91	0.4221230216
92	0.4218461258
93	0.4216899699
94	0.4214738909
95	0.4212777245
96	0.4210718284
97	0.4208776447
98	0.4206349573
99	0.4204817188
100	0.420310762
101	0.4201463811
102	0.4199411417
103	0.419802047
104	0.4196175904
105	0.4194624794
106	0.4192882794
107	0.419174306
108	0.4189664505
109	0.4187891297
110	0.4186429546
111	0.4185409597
112	0.4184560311
113	0.4182642045
114	0.418137283
115	0.4179838515
116	0.4178057453
117	0.4176425345
118	0.4174823485
119	0.417310175
120	0.4171722095
121	0.4170498819
122	0.4169619747
123	0.4168031729
124	0.4167100467
125	0.416567312
126	0.4164350233
127	0.416291694
128	0.4162279443
129	0.4160650086
130	0.4159627152
131	0.4158344952
132	0.4156536231
133	0.4155304179
134	0.4153882505
135	0.4153095462
136	0.4151820622
137	0.4150203402
138	0.4149094343
139	0.4147548151
140	0.414649043
141	0.4144631599
142	0.41433603
143	0.4142077166
144	0.4140926896
145	0.4139531395
146	0.4138338914
147	0.4137754635
148	0.4136861405
149	0.4135688925
150	0.4135060376
151	0.413411652
152	0.4132884672
153	0.4131809022
154	0.4131058563
155	0.4130020364
156	0.4128791061
157	0.4127693076
158	0.4126546274
159	0.4125870273
160	0.4124449106
161	0.412361767
162	0.4122750602
163	0.4121589194
164	0.4121322619
165	0.4120104848
